brand,description,price_usd,type,clothing_type,clothing_category,type_encoded,brand_encoded,clothing_category_encoded
A.P.C.,Blue Kyle T-Shirt,135,mens,Kyle T-Shirt,T-Shirt,0,12,132
A.P.C.,Black Kyle T-Shirt,135,mens,Kyle T-Shirt,T-Shirt,0,12,132
A.P.C.,Khaki Kyle T-Shirt,135,mens,Kyle T-Shirt,T-Shirt,0,12,132
A.P.C.,Gray Item T-Shirt,130,mens,Item T-Shirt,T-Shirt,0,12,132
A.P.C.,Black Item T-Shirt,130,mens,Item T-Shirt,T-Shirt,0,12,132
A.P.C.,Navy Item T-Shirt,130,mens,Item T-Shirt,T-Shirt,0,12,132
A.P.C.,White Raymond T-Shirt,135,mens,Raymond T-Shirt,T-Shirt,0,12,132
A.P.C.,Black Raymond T-Shirt,135,mens,Raymond T-Shirt,T-Shirt,0,12,132
A.P.C.,Gray Raymond T-Shirt,135,mens,Raymond T-Shirt,T-Shirt,0,12,132
A.P.C.,Off-White Lewis T-Shirt,165,mens,Lewis T-Shirt,T-Shirt,0,12,132
A.P.C.,Off-White Raymond T-Shirt,135,mens,Raymond T-Shirt,T-Shirt,0,12,132
A.P.C.,Green New Raymond T-Shirt,135,mens,Raymond T-Shirt,T-Shirt,0,12,132
A.P.C.,Orange New Raymond T-Shirt,135,mens,Raymond T-Shirt,T-Shirt,0,12,132
A.P.C.,White VPC T-Shirt,135,mens,VPC T-Shirt,T-Shirt,0,12,132
A.P.C.,Black VPC T-Shirt,135,mens,VPC T-Shirt,T-Shirt,0,12,132
A.P.C.,Navy VPC T-Shirt,135,mens,VPC T-Shirt,T-Shirt,0,12,132
A.P.C.,Gray VPC T-Shirt,135,mens,VPC T-Shirt,T-Shirt,0,12,132
A.P.C.,Black Lewis T-Shirt,165,mens,Lewis T-Shirt,T-Shirt,0,12,132
A.P.C.,Navy Lewis T-Shirt,165,mens,Lewis T-Shirt,T-Shirt,0,12,132
A.P.C.,Green Vincent Trousers,310,mens,Vincent Trousers,Trousers,0,12,142
A.P.C.,Navy Ville Trousers,350,mens,Ville Trousers,Trousers,0,12,142
A.P.C.,Indigo Petit New Standard Jeans,270,mens,Standard Jeans,Jeans,0,12,72
A.P.C.,Navy Petit New Standard Jeans,270,mens,Standard Jeans,Jeans,0,12,72
A.P.C.,Black Petit New Standard Jeans,270,mens,Standard Jeans,Jeans,0,12,72
A.P.C.,Indigo Petit Standard Jeans,270,mens,Standard Jeans,Jeans,0,12,72
A.P.C.,Green Petit New Standard Jeans,285,mens,Standard Jeans,Jeans,0,12,72
A.P.C.,Taupe Petit New Standard Jeans,285,mens,Standard Jeans,Jeans,0,12,72
A.P.C.,Black New Standard Jeans,285,mens,Standard Jeans,Jeans,0,12,72
A.P.C.,Blue New Standard Jeans,285,mens,Standard Jeans,Jeans,0,12,72
A.P.C.,Black Petit New Standard Jeans,285,mens,Standard Jeans,Jeans,0,12,72
A.P.C.,Blue Petit New Standard Jeans,285,mens,Standard Jeans,Jeans,0,12,72
A.P.C.,Blue Martin Jeans,285,mens,Martin Jeans,Jeans,0,12,72
A.P.C.,Blue Petit Standard Jeans,270,mens,Standard Jeans,Jeans,0,12,72
A.P.C.,Black Petit Standard Jeans,270,mens,Standard Jeans,Jeans,0,12,72
A.P.C.,Khaki Ville Trousers,350,mens,Ville Trousers,Trousers,0,12,142
A.P.C.,Khaki Charlie Cap,130,mens,Charlie Cap,Cap,0,12,30
A.P.C.,Navy Charlie Cap,130,mens,Charlie Cap,Cap,0,12,30
A.P.C.,Beige Charlie Cap,130,mens,Charlie Cap,Cap,0,12,30
A.P.C.,Blue Charlie Cap,130,mens,Charlie Cap,Cap,0,12,30
Sporty & Rich,Black New Drink More Water Hoodie,175,mens,Water Hoodie,Hoodie,0,507,67
Sporty & Rich,Green Backhand T-Shirt,65,mens,Backhand T-Shirt,T-Shirt,0,507,132
Sporty & Rich,Black New Drink More Water T-Shirt,70,mens,Water T-Shirt,T-Shirt,0,507,132
Valentino Garavani,Black Toile Iconographe Backpack,1650,mens,Iconographe Backpack,Backpack,0,565,0
BAPE,Blue Porter Edition Backpack,600,mens,Edition Backpack,Backpack,0,54,0
BAPE,Black Porter Edition Backpack,600,mens,Edition Backpack,Backpack,0,54,0
Sky High Farm Workwear,Black Charm Tote,345,mens,Charm Tote,Tote,0,494,141
Anna Sui,SSENSE Exclusive Off-White & Orange Tote,380,mens,Orange Tote,Tote,0,48,141
ERL,Orange Mini Puffer Bag,565,mens,Puffer Bag,Bag,0,166,1
Burberry,Khaki Trench Crossbody Bag,1550,mens,Crossbody Bag,Bag,0,85,1
Valentino Garavani,Black Toile Iconographe Bag,1190,mens,Iconographe Bag,Bag,0,565,1
A.P.C.,Khaki Jamie Large Neck Pouch,380,mens,Neck Pouch,Pouch,0,12,97
BAPE,Black Porter Edition Pouch,320,mens,Edition Pouch,Pouch,0,54,97
Valentino Garavani,Black Toile Iconographe Wallet,790,mens,Iconographe Wallet,Wallet,0,565,147
Moon Boot,Black Icon Quilted Boots,430,mens,Quilted Boots,Boots,0,357,15
Moon Boot,Brown & White Icon Low Nolace Pony Boots,495,mens,Pony Boots,Boots,0,357,15
Moon Boot,Brown Icon Low Nolace Quilted Boots,320,mens,Quilted Boots,Boots,0,357,15
Moon Boot,Black Icon Low No Lace Quilted Boots,320,mens,Quilted Boots,Boots,0,357,15
ROA,Black Andreas Boots,382,mens,Andreas Boots,Boots,0,436,15
Valentino Garavani,Beige Toile Iconographe Sneakers,980,mens,Iconographe Sneakers,Sneakers,0,565,118
11 by Boris Bidjan Saberi,Black Salomon Edition A.B.1 Sneakers,330,mens,A.B.1 Sneakers,Sneakers,0,3,118
KANGHYUK,White & Red Reebok Classics Edition DMX Run 6 Modern Sneakers,168,mens,Modern Sneakers,Sneakers,0,271,118
11 by Boris Bidjan Saberi,White Salomon Edition A.B.1 Sneakers,330,mens,A.B.1 Sneakers,Sneakers,0,3,118
Valentino Garavani,Black & Red Rockrunner Sneakers,1070,mens,Rockrunner Sneakers,Sneakers,0,565,118
Valentino Garavani,Black Rockstud Untitled Sneakers,890,mens,Untitled Sneakers,Sneakers,0,565,118
Miharayasuhiro,Off-White Hank OG Canvas Sneakers,430,mens,Canvas Sneakers,Sneakers,0,350,118
Miharayasuhiro,Pink Hank OG Sole Canvas Sneakers,430,mens,Canvas Sneakers,Sneakers,0,350,118
Miharayasuhiro,Purple Hank OG Sole Canvas Sneakers,455,mens,Canvas Sneakers,Sneakers,0,350,118
Miharayasuhiro,Black Blakey OG Sole Canvas Sneakers,430,mens,Canvas Sneakers,Sneakers,0,350,118
Moon Boot,Brown & White Mule No Lace Pony Slippers,370,mens,Pony Slippers,Slippers,0,357,116
Moon Boot,Brown Quilted Mules,255,mens,Quilted Mules,Mules,0,357,86
Moon Boot,Black Quilted Mules,255,mens,Quilted Mules,Mules,0,357,86
Ferragamo,Black Gancini Loafers,557,mens,Gancini Loafers,Loafers,0,190,79
Versace Underwear,Black Allover Towel Slippers,125,mens,Towel Slippers,Slippers,0,570,116
Versace Underwear,Blue Greca Slippers,125,mens,Greca Slippers,Slippers,0,570,116
Versace Underwear,Pink Greca Slippers,125,mens,Greca Slippers,Slippers,0,570,116
Valentino Garavani,Black VLogo Signature Sandals,980,mens,Signature Sandals,Sandals,0,565,104
Valentino Garavani,Black & White 'VLTN' Pool Slides,390,mens,Pool Slides,Slides,0,565,115
Valentino Garavani,Black VLTN Slides,390,mens,VLTN Slides,Slides,0,565,115
Valentino Garavani,Black Rockstud Slides,490,mens,Rockstud Slides,Slides,0,565,115
Vivienne Westwood,Gold Cadogan Watch,415,mens,Cadogan Watch,Watch,0,573,150
Palm Angels,Gold Monogram Chevalier Necklace,280,mens,Chevalier Necklace,Necklace,0,407,87
Palm Angels,Gold Palm Necklace,330,mens,Palm Necklace,Necklace,0,407,87
VAQUERA,White & Tan Snap Leather Bracelet,140,mens,Leather Bracelet,Bracelet,0,559,21
Palm Angels,Black Palm Beads Bracelet,380,mens,Beads Bracelet,Bracelet,0,407,21
Isabel Marant,Silver Summer Drive Cuff Bracelet,185,mens,Cuff Bracelet,Bracelet,0,251,21
Marni,Tortoiseshell Ik Kil Cenote Sunglasses,300,mens,Cenote Sunglasses,Sunglasses,0,335,127
RETROSUPERFUTURE,Black Premio Sunglasses,265,mens,Premio Sunglasses,Sunglasses,0,435,127
RETROSUPERFUTURE,Gold Premio Sunglasses,265,mens,Premio Sunglasses,Sunglasses,0,435,127
Garrett Leight,Black Hayes Sunglasses,445,mens,Hayes Sunglasses,Sunglasses,0,204,127
